" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Toledo Friends of Photography., 5101 Harroun, Sylvania,OH,43560,419 882-1984,,, , Meeting place and time varies with activity ,"To promote and support creative photography in the Toledo area. | Have lecturers, gallery visits, and trips, private viewings with photographers, workshops, dealers and curators. | Sponsor a national juried photography exhibition biennially.", ,,,,,,,
 Toledo Potter's Guild., 5403 Elmer Dr. (Botanical Garden), Toledo,OH,43615,419 535-6937,toledopottersguild@gmail.com,, ," Toledo Botanical Garden, No scheduled hours. General meetings, third Monday each month, 7:00 pm.","To educate members and the public in various forms of ceramic art. | To foster an appreciation and understanding of ceramic art through exhibitions, workshops, classes, and sales of members' works. | To provide a fully functioning studio for members, and for the public through classes.", http://www.toledopottersguild.org ,,,,,,,
 Toledo Choral Society., P.O. Box 66, Toledo,OH,43697-0066 ,,,Thomas Reed,President ," Augsburg Lutheran Church, Mondays, 7:30 September 13th - May.","Contribute to the cultural development of Toledo, NW Ohio & SE Michigan through the performance of significant choral music.", http://www.toledochoralsociety.org ,,,,,,,
 Toledo Craftsman's Guild., , ,, ,,,, ," Toledo Botanical Gardens Conference Center. 7:30pm, 2nd Tuesday","To establish and operate craft shows. To bring together those persons interested in various handicrafts, to inform and educate the general public about crafts and to encourage its wider appreciation, to upgrade the quality of craftmanship, to gather and disseminate information.", http://toledocraftsmanguild.org ,,,,,,,
 Toledo Gem and Rockhound Club., 5403 Elmer Dr, Toledo,OH,43615,,,, ," Toledo Botanical Garden Elmer Dr., Toledo, Ohio, ","To promote and encourage interest and education in the study of geology, paleontology, gemstones, the lapidary arts, jewelry making and working with metals. Bi-annual open house. Participate with TBG public activities. Annual show in September.", http://www.rockyreader.com ,,,,,,,
" Teutonia Maennerchor of Toledo, Ohio.", P.O. Box 167561, Oregon,OH,43616-7561 ,419-474-7604.,,Timothy Pecseyne,President. ," Oak Shade Hall, Mondays, 7:30 - 9pm.","Organization exists to promote German choral music and German ethnic culture. | Toledo area's oldest performing arts organization and oldest Germanic organization. | German men's choir has an auxilary of a German women's choir, Damenchor.", ,,,,,,,
 Toledo Council of Black Nurses., P. O. Box 9233, Toledo,Ohio,43697,,Fax: 419-534-2915,, ," 2nd Tuesday of the month, Mott Branch Library 6 pm. - 7:30 pm.","To address unique needs of African American nurses, to function as a support system both advisory and conciliatory, and to influence positive change in the delivery of health care to the total community.", ,,,,,,,
 Toledo Ski Club., P O Box 560, Toledo,OH,43697,419 283-7779,,"Rick Popiolek, ",Membership Director ," First Monday each month, 7:30 pm.","Snow skiing,snowboarding, biking, tennis, volleyball, golf, whitewater rafting, windsurfing, wine tastings, parties, fundraisers, ski racing, scuba diving, trips and vacations, and we own our own lodge for skiing at Walloon Lake Michigan - near the Boyne ski areas.", http://toledoskiclub.net ,,,,,,,
 Twirl Michigan Dance Twirl & Pom Teams, United Methodist Church 8165 Douglas Rd. Lambertvi, Lambertville,MI ,48144,734-856-2809,,Sue Roach,twirlmichigan@aol.com , Advanced: Mondays 5 pm. - 7 pm. Intermediate: Tuesdays 5 pm. - 7 pm. Beginners: Thursdays 5 pm. - 7 pm.,Main purpose is baton twirling; participate in parades and performances. | Active in baton competitions; fun activities and travel opportunities., http//:www.twirlmichigan.com ,,,,,,,
 Toledo Swiss Singers," German American Festival Hall, 3624 Seaman St", Oregon,OH,43616,,,Elaine Schwind,419-206-0975 ," Meet at Oak Shade Grove clubhouse, each Wednesday 7:30pm.","To promote Swiss culture and traditions.We are one of the seven societies that sponsor the German-American Festival on the last weekend in August. Sponsor the annual Swiss picnic at Oak Grove on the first Sunday in June, which is open to the public.", ,,,,,,,
 American Association of University Women--Toledo Branch., , ,, ,419-787-8258,,Nina Corder,President , Five meetings a year; times and locations vary.,"Promotes equity for women, education and self-development over the life span. | Provides scholarships to girls in grades 6/7 to attend science camp; scholarships for women attending UT, and fund the association for fellowships and grants. Projects include theater party. Offer Women In History presentations. Five general meeting per year and numerous study groups. New members welcome. Monthly study groups.", http://toledo-oh.aauw.net ,,,,,,,
 Golden Apple Club.," Toledo Public Schools Communications Dept. 420 E Manhattan, Ste 107", Toledo,OH,43608,419/671-0440,,, , ,"To provide photo ID cards to Toledo Public Schools area seniors, age 60 and up, and any retired Toledo Public Schools employees regardless of age, which will allow them into TPS sites for general athletic events or other school events, which have a fee, for free. Some restrictions apply.", ,,,,,,,
 Toledo Mothers of Twins Club., , ,, ,,,, ," Toledo Hospital, second Thursday, Sep to May, 7:00 pm.","To promote interest in and supply information for and about children of multiple births, to cooperate with and participate in studies conducted by researchers and physicians, and to educate parents, teachers and other individuals having direct responsibility and interest in the special aspects of child development which relate especially to children of multiple birth. | A moral support group for mothers of twins and other multiples of all ages, as well as expectant mothers. | Meetings feature speakers and discussion of twin related problems. | Clothing and equipment sales are held in spring and fall. | Social events for members and families. | Local, state and national membership and newsletter included with dues. | Library of twin books", http://www.tmotc.org ,,,,,,,
 Book Explorers.," Maumee Branch Library, 501 River Rd", Maumee,OH,43537,419/259-5360,,, , Meets second Wednesday (Sept-May) @ 10am.,"A book discussion group, open to all.", ,,,,,,,
 Hungarian Club of Toledo., 224 Paine Ave, Toledo,OH,43605,,,, ," First Sunday month, noon , except July - August.","To continue to educate adult and young people of the Hungarian heritage, culture, arts and traditions. Hunky Turkey fundraiser - July, Birmingham Festival, Pork dinner fundraiser in March, and other fundraisers. See updates on Facebook. Email newsletters.", ,,,,,,,
 Jamaican Social Club., 3512 Monroe St, Toledo,OH,43606,419-255-6900,,Earl Mitchell, ," Meet Saturdays, 9 pm.","A non-profit charitable club organized in 1976 exclusively for charity, education and religious purposes. Main focus is to encourage understanding and cooperation between all the cultures residing in Toledo. To serve as a liaison between Toledo City authorities, the people and government of Jamaica. To maintain concern about and seek ways and means to assist in improving the lot of the deprived, unemployed and the socially and economically disadvantaged.", ,,,,,,,
 Monday Musicale., Epworth United Methodist Church 3077 Valley View Dr., Ottawa Hills,Ohio,43615,419-882-6302,,, ," First Monday October to April, 1:00 pm concert follo",A non-profit organization to encourage the development of the musical talent of its members. To stimulate interest in music in the community. To award scholarships to young students of music. Sponsor the student organizations Mini Monday Musicale for grades 5-8 and Junior Monday Musicale for grades 9-12. Programs open to the public., ,,,,,,,
 Photo Arts Club of Toledo.," Toledo Botanical Garden, 5403 Elmer Dr", Toledo,OH,43615,,,Website, ," 1st and 3rd Thurs each month, 7:00 pm. TBG Conference Center Oct-Apr.; Club House May-Sept.","To further each member's interest in photography. We have our own clubhouse with studio facilities; monthly photo contests; monthly newsletter; occasional field trips; occasional classes in photography. We sponsor one of the largest amateur photo contest in NW Ohio, for over 25 years. ", http://photoartscluboftoledo.com ,,,,,,,
 24th Michigan Volunteer Infantry Regiment., , ,, ,734-834-0139,,Guy Purdue,revguypurdue@yahoo.com , Drill occasionally,"An authentic union Civil War reenactment group, which recreates history by reenacting battles and camp life. Reenacts as members of the famed Iron Brigade. Participates in living history trips in coordination with the National park Service at Gettyburg and Antietam as well as at several local events in and around Michigan.", ,,,,,,,
 Key to the Sea Poodle Club., Meet at members homes., ,, ,,,, ," Third Thursday each month, 1:00 pm.","For the betterment of poodles, educational programs. Two shows per year.", ,,,,,,,
 Public Employee Retirees. Toledo Chapter 4., , ,, ,,,, ," AFSCME union hall, 420 Reynolds Rd., first Wednesday each month, 1:30 pm.","To keep retirees informed of benefits, as well as a social gathering.", ,,,,,,,
 Optimist Club of Toledo, , Toledo,OH, ,419/344-4601,,Matthew Meeker, ," Famous Dave's at 4757 Monroe Street. Toledo, Ohio. Every Monday 12:00 p.m.",Perform a wide variety of services to the youth of the community. Scholarship program. Facebook page., http://www.ohiodistrictoptimist.org ,,,,,,,
 Public Relations Society of America. Northwest Ohio Chapter., , ,, ,,,, ," Toledo Club, third Friday each month, 11:30, except July, Aug, and Dec.","To advance the art and science of public relations in the public interest. | To encourage research, discussion and study of problems and techniques of the public relations profession. | To strengthen and maintain the highest standards of service and ethical conduct by all members. | To exchange ideas and experiences and collect and disseminate information. | To promote personal professional contact within the profession.", http://www.nwohioprsa.org ,,,,,,,
 Toledo Area Aboriginal Research Society., Wildwood Metro Park, Toledo,OH,43623,419-893-4213,,Kathi Sund,Vice President. E-mail: randksund@aol.com ," Meet at the Manor House, Wildwood Metropark, Central Ave., Toledo, Ohio 7:00p.m., the 4th Thursday of the month September thru May, not Dec. or March. ","Archaeological research and education. Provide members with the opportunity to learn archaeological techniques and proper procedures in recording data and sites, as well as presenting speakers who are involved in serious research in Ohio and adjoining states, under the direction of a professional archaeological advisor, Dr. Robert Chidister. | Provide an organization of people to supply support for scientific archaeological site development. | Assist professional researchers in scientific collecting of data and lab analysis. | Promote interest among students in the science of anthropology. | Develop and promote greater interest and appreciation of our cultural heritage.", ,,,,,,,
 Toledo Area Librarians Association., , ,, ,,,, ," Meeting are 4 times a year, place varies.","Promoting cooperation, communication and education among library professionals.", http://www.talalibrarian.org ,,,,,,,
 Toledo Artists' Club.," Toledo Botanical Garden, 5403 Elmer Dr", Toledo,OH,43615,419-531-4079.,,, ," Winter: Tuesday, Thursday, Saturday 1:00 pm - 4:00 pm.Call for summer hours.","Gallery and educational facility. Exhibit privileges for monthly juried shows, art classes for adults and children - workshops in oil, acrylics and water color-demonstrations, Tuesday plain air group spring - fall. Email: toledoartist@sbcglobal.net", http://www.toledoartistclub.com ,,,,,,,
 Toledo Collie Club., , ,, ,,,, , Contact a member for meeting place and time.,To maintain the highest standards in breeding pure bred collies. | Put on two specialty shows and one obedience trial for collies each year. | Also rescue collies and try to find their owners to be returned or place them in a new home., ,,,,,,,
 Toledo Muzzle Loaders., , ,, ,419-474-3785,,Mike Thompson, ," Boothby Range, Schwamberger Rd, second Sunday each month, 11:00 am.","To promote interest in the collection, possession, and active use of all types of muzzle-loading firearms and their accessories. | Hold meetings, shooting matches, and exhibitions to shoot, display, exchange, and examine muzzle-loading arms. | To instruct the general public concerning muzzle-loading arms and their use. Facebook page.", ,,,,,,,
 Torch Club of Toledo., , ,, ,419-265-7145,,, ," Toledo Club, third Monday, Sept to May, 6:00 pm.",To give members of the different learned professions the opportunity of meeting together in the spirit of fellowship. | To prevent the narrowing tendencies of specialization by developing a breadth of thought and culture. | To foster the highest standards of professional ethics and civic well being., ,,,,,,,
 Toledo Area Western Dance Leaders Association., Meeting in Bowling Green. Call contact for information., ,, ,419-826-2348,,Gene & Anita Eckley, ," Second Sunday each month, 2:00 pm., freshman dance at other times.","To promote western square dancing, round dancing, line dancing and clogging. | Provide information on area dances and locations.| Made up of local dance clubs. All clubs offer classes. See website for more information.", http://www.promenadetoledo.com ,,,,,,,
 Toledo Women's Art League., T.B.G. Toledo Artists' Club. 5403 Elmer Drive [Botanical Gardens]," Toledo,",Ohio,43615,,,, ," Third Monday, Sept. - May 12:15 pm.","To further artistic training of its members, either for professional purposes or as a hobby. Demonstrations each meeting except Dec. or May. One juried art show each year in the spring. Under umbrella of Toledo Artists Club.", ,,,,,,,
 Bedford Artists Club., , ,, ,,,, ," Bedford Branch Library, third Tuesday, 7pm.","Purpose is the development and education of the members. | Social events, very brief meetings, and then demonstrations. | Have monthly demonstrations, yearly juried shows, and monthly one-man shows.", ,,,,,,,
" Beer Can Collectors of America, Buckeye Chapter", , ,, ,,,, , 3rd Thursday at 7:30pm at members homes.,Annual buy/trade show every year in March to collect breweriana of existing and old closed breweries. Collectors and collecting of beer related items. National chapter president is Toledo chapter member., http://www.bcca.com/chapter/buckeye.asp ,,,,,,,
 Buick Club of America., 138 E. Fifth St., Perrysburg,Ohio,43551,419-8748903,,David Rex, ," Members' homes, first Friday each month, 7:30 pm.","A non-profit organization. | Dedicated to the preservation and restoration of the automobiles built by Buick Motor Division of General Motors. | Glass City Chapter draws its membership from NW Ohio and SE Michigan, local activities include tours, shop nights, social activites, and technical assistance.", ,,,,,,,
 Covenant Players., 3215 Douglas Rd, Toledo,OH,43606,419/472-5360,,,Fiona Floyd , ,"An international touring Christian ministry through drama. | Have over 3000 plays ranging in length from 30 seconds to two and a half hours long on myriad topics. | Perform for churches, schools, nursing homes, prison, etc.", http://www.covenantplayers.org ,,,,,,,
" Children's Discovery Center. (Perrysburg, Ohio)", 11090 Avenue Rd, Perrysburg,OH,43551,419/874-8203,Fax 419/874-8248,"Angel Heath,",Admin. ," 6:30 am-6 pm, M-F.","Part time and all day sessions open year round. | Lunch and 2 snacks provided, large fenced-in playgrounds. Rated Step 2 on 'Step Up to Quality' program.", http://www.childrensdiscoverycenter.com ,,,,,,,
 Epworth Early Childhood Education Center., 3077 Valleyview Dr., Toledo,OH,43615,419/531-7632,Fax 419/531-7487 Email florine@epworth.com,"Florine McCain,",Dir. , 4 day sessions. 4 & 5 year olds. 3 day & 2 days - for all ages. Call for hours,"Part time sessions, 9 months only (school year). | Outside playground and indoor group activities. | Snacks provided by parents. | Free choice, stories, treats, small and large group actvities, outside activities.", ,,,,,,,
 First St. John's Lutheran Day School., 2471 Seaman St, Toledo,OH,43605,419/691-6480,Fax 419/691-7220,"Barb Shellhammer,",Director ," 6:00am. - 6:00 pm, Monday - Friday.","Part time and all day sessions, year round program, | Gym, playground and grassy field. | Lunch and snacks provided. | Developmentally appropriate activities in a Christian atmosphere, including many opportunities for social, artistic, intellectual, and personal development and growth.Summer program for 3-12 year olds.", http://www.firststjohndayschool.org ,,,,,,,
 Sylvania First Preschool, 7000 Erie St, Sylvania,OH,43560,419/885-4249,,Christine Kwiatkowski,Director. , Monday - Friday 9:00am to 1:00pm.,"Full time preschool. Outdoor fenced in playground, indoor large and small motor play areas. | Lunches provided by parents. | Indoor and outdoor free time, music, storytime, dramatic play, academic environment, large and small motor activity. Before and after care available.", ,,,,,,,
 Gateway Pre-K School., 4650 West Bancroft St, Toledo,OH,43615,419/536-6503,,Heidi O'Connor,Owner ," 7:30 am-4:30 pm., Mon-Fri","Part time and full-time sessions, Sept-May. | Have a completely fenced outdoor play yard with swings, slide, climbing bars, bike path, trikes, digging pit, stationary boat. | Small and large group time, movement and rhythm, outdoor play, learning center time, story time, games. We offer a daily music program. | Snacks provided.", http://www.gatewaypre-k.com ,,,,,,,
 YMCA at Faith Lutheran, 2440 South Ave, Toledo,OH,43609,419/382-3887,,"Mary Mallory, ", Director , M-F 5:15 am - 7:30 pm,"Preschool enrichment, Jesus time, stories, calendar, songs & movement, circle time, center activities, science, pre-math, blocks & sensory-motor, socialization.", ,,,,,,,
 Love 'N' Care Nursery School., 9875 Lewis Ave, Temperance,MI,48182,734/847-3736,Fax 734/847-6785,Sandy Myers,Director ," 9-11:30, M-W-F or T-TH. 4 year olds: extended day 9 am. - 1 pm.","Part time sessions, 9 months only. | Large indoor gym with equipment and large fenced-in playground with equipment. | Christian curriculum, centertime, crafts, art, math, science, gym/outdoors, circletime, instructions demonstration, stories, books, songs, fingerplays, and show/tell. | Parents supply snacks. |Kindergarten readiness program offered.", http://www.atbridgepoint.org ,,,,,,,
 Maria Early Learning Center, 4651 Monroe, Toledo,Ohio,43623,419/471-0170,Fax 419/479-3057,"Sister Constance Marie, SND",Director ," 6:30 am-6 pm, Monday-Friday.","All day sessions, open year round. | Playground and an indoor multi-purpose room. | Breakfast, lunch and snacks provided. | Call for daily program, specific to age group, hands-on, play based curriculum", http://www.mariaelc.org ,,,,,,,
 Montessori Day School., 5559 West Bancroft St, Toledo,OH,43615,419/537-7011,Fax 419/537-9380,"Mrs. Nikki Tricozzi,",Secretary , 8:00-3:30pm.,Part time and full day programs, http://www.montessoridaytoledo.com ,,,,,,,
 Over The Rainbow Children's Day Care Center., 6765 Brint Rd., Sylvania,OH,43560,419/882-0734,Fax 419/882-1727,"Michelle Bieber,",Administrator ," 6:30 am-6 pm, M-F.","All day sessions, open year round. | Three large outdoor playgrounds. | Breakfast, lunch and snack provided. | | Morning preschool program, hands on learning activities, learning centers, nap. Scheduled activities curriculum based; Step Up to Quality"" Step 3 | ""Latchkey"" program during school vacations and summer; no before & after school program.""", http://www.overtherainbowlearningcenter.com ,,,,,,,
 Son-Shine Educational Center., 5701 Sylvania Ave., Toledo,OH,43623,419-882-4814,FAX: 419-885-3857,Sally Smith, Administrator ," 6:30-5:30, Monday-Friday.","Part time and all day sessions, Christian preschool curriculum, open year round. | Fenced-in play yard. Full size gym. | Lunch and snacks provided.", ,,,,,,,
 Toledo PC Users Group, , ,, ,,,, ," Meet first Monday of month, 7:30 pm. at Church of the Cross 1806 Cass Rd. Toledo, Ohio.",To promote use and knowledge of personal computers. Meetings are open to the public. Meetings feature programs relating to personal computer use. Members receive a monthly newsletter and access to club software library , http://www.toledopcug.net ,,,,,,,
 Toledo Dulcimer Club., 4441 Monroe St. Grace Lutheran Church, Toledo,Ohio ,43613,419-578-2709,,Christine Vischer, ," Every Tuesday, 7 pm. except summer (Wildwood Park by the fountain).","To preserve old songs, music. We perform 100 times a year for senior centers, nursing homes, craft shows, fairs, church's, birthdays, etc. Do not play for dances. | Help anyway to get new members started. Members play Lap Dulcimers, Hammer Dulcimers, Autoharps, Harmonicas, Banjos, Guitar and Canjo. For Bookings call president.", ,,,,,,,
 Bedford Community Players., , Temperance,MI,48182,,,Sue Smith,President ," Bedford Township Hall, second Sunday of the month, 7:00 pm","Interest is community theater and to promote theater among youth in the community. | Community theater group which presents musicals, children's shows, and dramatic presentations. | Also performs for private organizational dinners, fundraisers, etc.", ,,,,,,,
 Toledo Camera Club., , ,, ,[419 ] 878-2491,,Joe Jacoby,"President, jacobyphotos@gmail.com ", Second & Fourth Monday of each month at the University of Toledo Medical Center Health Ed. Bldg. Rm 103.,"To promote the advancement of pictorial (fine art) photography. We have lectures, competitions, exhibitions, field trips and many how-to demonstrations.", http://www.toledocameraclub.com ,,,,,,,
 Toledo Sister Cities International., One Government Center #2100, Toledo,OH,43604,419/245-3334,,, , See below - irregular.,"Building mutually beneficial economic, educational, and cultural development between Toledo, USA and Toledo, Spain; Qinhuangdao, China; Szeged, Hungary, Pozan, Poland, Toyohashi, Japan, Delmenhorst, Germany, Tanga, Tanzania, Bekaa Valley, Lebanon, Coimbatore, India and Hyderabad, Pakistan.", ,,,,,,,
 Sylvania Area Chamber of Commerce., 5632 N Main St, Sylvania,OH,43560,419/882-2135,Fax 419/885-7740,Pat Nowak,Exe. Dir. ," 9am-4 pm, M-F.",Works to build a better business climate while promoting civic and social development throughout the Sylvania area., http://www.sylvaniachamber.org. ,,,,,,,
 Maumee Valley Save A Pet, 5250 Hill Ave., Toledo,OH,43615,419/537-9663,,, ," Wednesday through Saturday, 12 p.m .- 5 p.m.","A nonprofit organization, its purpose is to aid stray and abandoned animals, finding them loving, permanent homes. Have a no kill"" policy and will not euthanize an animal unless there is no medical alternative to ease its pain and suffering.""", http://maumeevalleysaveapet.org ,,,,,,,
 Maumee Bay Country Quilters Guild., , ,, ,,,, ," Meet at St. Charles Hospital, Oregon Rm. first Tues/month - 6pm.","The guild is composed of quilters and quilt lovers. | A nonprofit organization dedicated to the enhancement of the skill and knowledge of quilting. | Meetings include show and tell, block of the month, door prize raffle, informative programs, speakers, raffles, workshops and more.", ,,,,,,,
 Bedford Community Arts Council., 8575 Jackman Rd., Temperance,MI,48182,734-847-8861 (meetings),,, , Call for information.,Encourage and promote the visual and performing arts in the southeast Michigan and northwest Ohio area. Fine arts show 1st Sunday of November., http://www.monroe.lib.mi.us/bedford-community-arts-council ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 All Thumbs Garden Club., Meet at members' homes., ,, ,,,, ," Fourth Thursday each month, 6 pm, except summer.","Purpose is to promote and learn more about gardening and nature. Civic projects include Japanese Garden in Woodland Park, funds for FFA Camp & Forestry Camp Scholarships, Toledo Botanical Gardens, various nature projects funded by dues fundraisers. Planting at Way Public Library.", ,,,,,,,
 , , ,, ,,Fax:,, , ,, http://www. ,,,,,,,
 , Group meets at:, ,, ,,Fax:,, , ,, http://www. ,,,,,,,
 , , ,, ,,Fax:,, , ,, http://www. ,,,,,,,
 , , ,, ,,Fax:,, , ,, http://www. ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 First United Methodist Preschool., 200 W. Second St., Perrysburg,OH,43551,419/874-9318,,"Sharron Waclawski,",Administrator ," 9 am-11:30 am, M-F, 12:30 pm-3 pm, Tu-W-Th.","Part time sessions, 9 months only. | Have a large basement with big wheels available, also a large stage and other recreational equipment. | Full play, gross motor time in gym area, snacks, art projects, stories, songs, and fingerplays. Social play based preschool in a Christian atmosphere.", ,,,,,,,
 American Language Institute., Snyder Memorial Hall. 4801 W. Bancroft, Toledo,Ohio,43606,419/530-4702,,Sara Clark, , 8:30 am - 5:00 pm. [classes],"Experienced teachers with Master's degrees. Regular program classes at six different proficiency levels for students with some background in English, at higher levels, academic English predominates over general English skills.", ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 , 2308 Jefferson Ave., Toledo,OH,43624,419/242-9511,,, ," 8am-4pm, M-F.","Offers opportunity for persons 60 and over to provide support, love and attention to physically, emotionally, and mentally handicapped children in institutions or schools. Foster Grandparents volunteer 4 hours per day, 5 days a week in the care of 2 children. Tasks may include feeding and dressing the child, playing games, assisting with speech and physical therapy and providing love and companionship. Grandparents receive a stipend of $2.65 per hour,transportation allowance, insurance, and annual physical exams. A program of the Senior Centers.", ,,,,,,,
 Sofia Quintero Art and Cultural Center., 522 Crittenden, Toledo,OH,43609,419-241-1655,,Taylor Burciaga, ," 9 am-5 pm, M - F, or by appointment.","Art and health education, cooking classes, art classes and art gallery, urban gardening, event space.", http://sqacc.org ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 Toledo Lucas Co. (Ohio) Division of Environmental Health., 635 North Erie St., Toledo,OH,43624,419/213-4100,Fax 419/213-4141,, ," 8am-4:45pm, Mon-Fri.","Respond to complaints regarding rat activity, animal bites, sewage; also licensing bureau for solid waste facilities and food service establishments. ", ,,,,,,,
 Rising Star Academy, 8052 W. Central Ave., Toledo,OH,43617,419/841-8294,FAX: 419-843-3095,Jeanine Pariseau,Administrator ," 6 am-9 p.m., Monday - Friday.","Part time and all day sessions, open year round. | Preschool, infants, toddlers, school age, scheduled activities suited for developmental capabilities, encourage developmental growth. | Country atmosphere with complete playground equipment outdoors, separate toddler playground. | Breakfast, lunch, supper, and snacks available.", ,,,,,,,
 Rotary Club of Maumee, Langley Hall at Degage Restaurant. 301 River Rd., Maumee,OH, ,,,, ," Wednesdays, Noon 'til 1:30",A community and international service club., http://www.maumeerotary.org ,,,,,,,
 Col. James M. Schoonmaker," One Maritime Plaza, 7th Floor", Toledo,Ohio,43604,419-214-5000,,christopher Gillcrest,Executive Director , Tues. - Sat. 10am - 5pm. Sunday 12pm - 5pm. May - October,"Individual and group tours of 1911 vintage Great Lakes freighter,authentically restored, including a collection of artifacts/photos maintained by Western Lake Erie Historical Society. | The ship is also available for meetings, receptions or parties, weddings and fundraisers. Is scheduled to reopen in 2014.", http://www.inlandseas.org/museum ,,,,,,,
 Zonta Club of Toledo I., Group meets at Toledo Club, Toledo,OH,43604,,,, ," First Tuesday evening at 5:30. Wednesday, September-June noon. Toledo Club; Real Seafood following meeting.",International Service organization of executives in business and professions working together to advance the status of women., http://www.zontatoledo1.org ,,,,,,,
 University of Toledo Medical Center NW Ohio Regional Genetics, 2222 Cherry St. Suite 2300, Toledo,OH,43608,419-251-8012,FAX: 419-251-7719.,Katie Shrewsbery,Genetics Counselor ," 8:30 am-5:00 pm, Monday-Friday.","Consultation, screening, evaluation and treatment (including necessary laboratory testing) for individuals and families with or at risk for genetic conditions. Services provided on an inpatient/outpatient basis. Social Service support as well as parent/family support organizations. | Educational programs provided for community school and professional groups, also outreach clinics in several NW Ohio cities.", ,,,,,,,
 Mu Phi Epsilon., Group meets at members homes., ,, ,419-474-9143,,Barbara Kondalski,President ," Various times monthly, public programs are announced..","Mu Phi Epsilon is an international music fraternity in the professional field, having as its purpose the advancement of music throughout the world, the promotion of musicianship and scholarship,loyalty to the Alma Mater, and the development of a true bond of friendship.", http://www.muphiepsilon.org/toledo/ ,,,,,,,
 Toledo Diocesan Council of Catholic Women, Group meets at Sacred Heart Church, Toledo,OH,43604,,,Judy Warntz 419-867-1227, , 9 a.m. - 5 p.m.,"Unite Catholic women in the Toledo Diocese to develop spiritual growth, motivate and assist them in acting on current issues in the Church and society. | Strengthens and broadens network of affiliated women's parish organizations and individual women by providing programs, events and projects.", ,,,,,,,
 Frogtown Storytelling Guild., 3263 Erawa Dr," Toledo,",Ohio,43614,419-279-1771,thereM116@gmail.com,, , 2nd Saturday of the month. Reynolds Corners Library 9:00am - 11:00am,"Produce directory of storytellers, monthly storytelling group, storytelling workshops, yearly celebration event 2nd Saturday in November, called 'Tellabration'.", http://frogtownstorytellers.googlepages.com ,,,,,,,
" Ohio Music Teachers Association, Northwest Ohio District", 221 Pearl Street, Bowling Green,OH,43402,616-250-0704,,Joy Morin, , ,"OMTA/MTNA includes independent music teachers, college faculty members, and concert artists nationwide. | Offers a wide variety of activities for teachers and students, continuing education, and National Certification encourages high standards of teaching, and is a means of recognition for qualified teachers.", http://www.nwomta.org ,,,,,,,
 Quilt Foundry Guild., 234 W. Wayne St., Maumee,OH,43537,419-893-5703 [Quilt Foundry],,, , Member meetings each Wednesday 10-12.,"Promote quilting, make a quilt for Black Swamp Benefit (for Sunshine Childrens Home to be auctioned. Classes for adults and children.", ,,,,,,,
 Sigma Alpha Iota., Group meets at members' homes., ,, ,,,"Teresa Linares, Treasurer.",tlinares@bex.net ," 7:30 pm, 2nd Tuesday of the month.","Interest is music appreciation, performance, support community,music opportunities, and fellowship with other musicians.", ,,,,,,,
 Maumee Chamber of Commerce., 605 Conant St., Maumee,OH,43537,419/893-5805,Fax 419/893-8699,"Brenda Clixby,",Exe. Dir. ," 10am-4pm, Mon - Fri.",A nonprofit business organization providing local information., http://www.maumeechamber.com ,,,,,,,
 Rotary Club. Reynolds Corners," 915 N Reynolds Rd., Epiphany Lutheran Church.", ,, ,419-779-6401,,Susan Martin, ," Tuesdays, Noon","Community projects, scholarships, emergencies as they arise, nationally, Rotary Clubs are working toward the eradication of polio world-wide. Also on Facebook.", ,,,,,,,
" Kindercare Learning Centers. (Henthorne Dr., Maumee)", 1561 Henthorne Dr., Maumee,OH,43537,419/866-0142,Fax 419/866-1132,Nicole Etherton,Center Director ," 6:30 am-6 pm, M-F.","All day and part time sessions, open year round. | Two fenced-in yards with play equipment and jungle gym. | Preschool, field trips for non-preschool, breakfast, lunch and snacks provided. | Infant, toddler and preschool program, summer program, before and after school program.", http://www.kindercare.com ,,,,,,,
 Sylvania Area Community Improvement Corporation., 5632 N Main St, Sylvania,Ohio,43560,419/8428108,Fax 419/885-7740,, , ,"Provides assistance with growth issues in the Sylvania School District concentrating on business and industry, works closely with the Sylvania Area Chamber of Commerce.", http://www.sylvaniaareacic.org ,,,,,,,
 Holy Trinity Day Nursery., 1825 Glendale Ave., Toledo,OH,43614,419/382-4088,,"Chris Grady,",Admin. ," 7 am-6 pm, Monday-Friday.","Part time and all day sessions, open year round. | 2 1/2-5 year olds rotate every half hour to four different classrooms for art, gym, math/science and storytime kindergarten prep. Before and after kindergarten care and before and after grades 1-6 care. Computers available for all ages. Hot lunches.", ,,,,,,,
